epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2492,1.93406,1.93422,1.84685,0,0,0,0,0,0,0,0.000666305,0.000666305,0.000666305
2,142.228,1.433,1.20855,1.47993,0,0,0,0,0,0,0,0.00120101,0.00120101,0.00120101
3,208.225,1.32788,1.10143,1.41454,0,0,0,0,0,0,0,0.00160371,0.00160371,0.00160371
4,274.17,1.175,1.0098,1.32856,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
5,352.092,1.08784,0.9415,1.27779,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
6,442.69,1.00141,0.91477,1.24135,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,520.495,0.95656,0.87712,1.22224,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
8,588.035,0.87585,0.8546,1.19101,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
9,652.459,0.8455,0.83881,1.1828,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
10,763.32,0.77337,0.79307,1.15652,0.92133,0.92689,0.98614,0.82007,0.78278,0.8185,1.21338,0.000218,0.000218,0.000218
